publication_id,published_in,start_page,end_page,continued_on,continuation_end,illustrated,notes,article_subseries,system
-1427569235,-2116979748,20,20,,,no,,0,1
-1427334346,1132773275,56,56,,,no,,0,1
-1426719320,1131555576,72,72,,,no,,0,1
-1426646954,-275891255,11,,,,unknown,,0,1
-1426430536,-521321384,42,42,,,no,,0,1
-1425874633,-142445236,169,169,,,no,,0,1
-1425394461,-2093832278,233,236,,,unknown,,0,1
-1425352589,1144782031,42,43,,,no,,0,1
-1425210778,1138097324,6,6,,,no,,0,1
-1425189429,-1893233960,203,210,,,no,April,0,1
-1425153044,-1516137464,12,12,,,no,,0,1
-1425103041,-1064768630,128,129,,,no,March,0,1
-1424973829,211183821,12,12,,,no,,0,1
-1424916899,1149005132,,,,,unknown,,1196432413,1
-1424755904,1174573430,126,126,,,no,March,0,1
-1424409112,1148990691,,,,,unknown,,1196432413,1
-1423942759,36289719,23,23,,,yes,,0,1
-1423736536,-458028822,43,47,,,no,,0,1
-1423414009,726368275,28,34,,,no,Cont from v 51. January,-959482820,1
-1423153281,1637712438,4,5,,,no,,0,1
-1423130620,-1954491546,53,56,,,yes,,0,1
-1422742216,-712457511,582,585,,,no,,0,1
-1422650077,505593348,11,11,,,no,,0,1
-1421869727,1415633284,25,25,,,no,,0,1
-1421644427,1133457499,102,102,,,no,,0,1
-1421447604,1131448942,8,10,,,yes,,0,1
-1421396960,-2075828485,426,435,,,no,,0,1
-1421363320,339745415,23,25,,,yes,,0,1
-1421315638,120469389,3,11,,,no,,0,1
-1420852162,708800593,45,58,,,no,,0,1
-1420611361,-204321941,14,14,,,no,,0,1
-1420580217,-1064768630,82,82,,,no,February,0,1
-1419840672,1035416011,96,96,,,no,,0,1
-1419613231,-799593777,492,493,,,no,Sept,0,1
-1419047765,-147108945,17,18,,,no,,0,1
-1418492084,1626141157,113,123,,,no,March,0,1
-1418014487,855199112,589,589,,,unknown,,0,1
-1417735387,1129215246,13,13,,,no,First in a sequence of six poems entitled Scrapbook for County Down,0,1
-1417688748,259024973,8,8,,,no,,0,1
-1417644563,150146332,6,7,,,yes,,0,1
-1417625939,1928988223,349,349,,,no,juen,0,1
-1417461979,-1253856801,27,36,,,no,,0,1
-1417423789,-2094769446,2,2,,,no,,0,1
-1417326241,-1110403800,7,7,,,no,,0,1
-1416869760,1170763965,253,258,,,no,May,0,1
-1416825152,-1159116955,14,19,,,no,,0,1
-1415865547,-107996616,599,600,,,no,"misprint in index, listed as p 699",0,1
-1415242449,308495193,18,18,,,no,,0,1
-1414444680,1130412211,211,222,,,no,"'The Progress of the Soul', 'A Tale of True Love', 'To A Young Friend', 'The White Rose'. 'A Song', 'Sonnet. To Isabel', 'Fragment', 'Withered Trees', 'To the Green Isle Farewell', 'The Bridegroom to His Bride', 'A Scene From Real Life', 'To Death'.",2056911512,1
-1414171114,-886444998,38,38,,,no,,0,1
-1413651194,-976671982,107,107,,,no,,0,1
-1413137064,1686115209,61,72,,,no,Feb,0,1
-1412929695,-1520762656,473,476,,,no,,0,1
-1412140639,659093204,6,6,,,unknown,,0,1
-1411883557,-1772009598,19,20,,,no,,0,1
-1411782774,1139318752,45,45,,,no,,0,1
-1411741905,595336870,293,300,,,no,,0,1
-1411269483,30253817,32,212,,,no,Cont from vol 29. Chapters 24-32,0,1
-1410718683,298435752,116,126,,,yes,,0,1
-1410577802,567349523,38,38,,,no,,0,1
-1410362734,-902299964,244,247,,,yes,,0,1
-1410267473,-1570001929,20,20,,,no,,0,1
-1409730075,1751576250,188,188,,,no,,0,1
-1409716766,641665727,353,377,,,no,,0,1
-1409171900,-1467855117,8,8,,,no,,0,1
-1409114090,1147942695,18,19,,,yes,,0,1
-1409089311,930967648,3,3,,,no,,0,1
-1408849040,1931110296,14,15,,,no,"'Looking at Escape Routes', 'Adrift'",0,1
-1408795771,1773895700,128,147,,,no,,0,1
-1408574364,-1537741831,40,40,,,no,,0,1
-1408268747,1928988223,247,249,,,no,May,0,1
-1407959492,-162324306,34,34,,,yes,,0,1
-1407466936,-299225846,8,9,,,yes,,0,1
-1406884528,-1092381772,22,22,,,no,,0,1
-1406646133,1159379698,,,,,unknown,,0,1
-1406320838,390215987,1,25,,,unknown,,0,1
-1405628611,42757548,4,6,,,yes,,0,1
-1405586638,1804355477,8,8,,,no,,0,1
-1405130216,512399697,439,449,,,unknown,,0,1
-1404999144,1784504275,,,,,unknown,,1196432413,1
-1404939468,-205104417,13,13,,,unknown,,0,1
-1404925152,-1913779799,338,353,,,no,,0,1
-1404867864,-732940829,,,,,unknown,,1196432413,1
-1404863042,1010233616,12,12,,,no,,0,1
-1404815128,-611314120,303,318,,,no,,0,1
-1404813765,1172156138,457,459,,,no,August,0,1
-1404562807,1079410355,426,426,,,no,July,0,1
-1404336597,91052268,20,20,,,no,,0,1
-1404274054,-1934474005,654,654,,,no,,2126018785,1
-1404169296,-690355165,64,64,,,no,,0,1
-1403991522,-948490450,516,517,,,unknown,,-596841026,1
-1403977883,-264872076,10,12,,,yes,,0,1
-1403896632,-1303067766,11,12,,,yes,,0,1
-1403697246,1173873163,430,443,,,no,July,472835272,1
-1403122431,-948490450,377,377,,,unknown,,0,1
-1403074824,-1027462939,104,104,,,unknown,,0,1
-1403053243,1597119966,110,110,,,no,,0,1
-1403037406,-1498485947,7,9,,,no,"'For Tommy', 'Seven'",0,1
-1402492802,1525222801,,,,,unknown,,1196432413,1
-1401345356,948067599,571,571,,,no,November,0,1
-1400931736,893837200,298,303,,,unknown,,0,1
-1400693939,460870814,456,456,,,no,,0,1
-1400135076,1202279919,0,0,,,unknown,,0,1
-1400118417,21428780,18,19,,,no,,0,1
-1400103868,1131382003,14,15,,,yes,,0,1
-1400092674,1107967413,40,40,,,unknown,,0,1
-1399940007,-1609033793,27,41,,,no,cont from vol 42. Chapters 29-31,0,1
-1398838938,274432158,37,41,,,yes,,0,1
-1397856800,333309827,24,24,,,no,,0,1
-1397300363,526572779,72,72,,,no,,0,1
-1397189499,1901414669,60,61,,,yes,,0,1
-1397101451,458093785,156,156,,,unknown,,0,1
-1397033664,-1292767428,88,88,,,no,,0,1
-1396598006,1079410355,84,84,,,no,February,0,1
-1396529139,-224395774,15,15,,,no,,0,1
-1396340554,-1913779799,260,260,,,no,,0,1
-1396219163,-1231089746,43,48,,,unknown,,0,1
-1396139469,-1808633824,27,28,,,no,,0,1
-1395704879,-969265528,145,162,,,yes,,0,1
-1395405924,-1664667830,91,93,,,no,,-839800880,1
-1395288393,1138008993,11,12,,,yes,,0,1
-1394515332,-1274332089,9,9,,,no,Published in The Irish Press.,1196432413,1
-1394358412,831164263,26,26,,,no,,0,1
-1394329968,1000999888,106,109,,,no,,0,1
-1394037280,1174573430,496,499,,,no,September,0,1
-1394001307,403201513,121,129,,,no,,0,1
-1393356885,1757885074,,,,,unknown,,1196432413,1
-1393247108,7743371,20,20,,,no,,0,1
-1392576530,-502759711,167,167,,,no,March,0,1
-1391769641,1135100663,37,37,,,no,"""from Mary Wollestonecraft to William Godwin""",0,1
-1391527730,1225498913,6,8,,,no,,0,1
-1391527269,1655685480,80,85,,,no,,0,1
-1391454670,-569501549,557,560,,,no,,0,1
-1391428342,-2118346070,80,82,,,no,,0,1
-1391283322,654455352,211,216,,,unknown,,0,1
-1391172640,1134486971,485,485,,,unknown,,0,1
-1390446937,-734078022,11,12,,,no,,0,1
-1390320726,1172156138,166,166,,,no,March,0,1
-1390083506,593736148,82,94,,,no,,0,1
-1389782435,-1944298130,295,307,,,unknown,,0,1
-1389633577,-2118346070,71,71,,,no,,0,1
-1389625394,948067599,598,602,,,no,November,0,1
-1389520143,90984036,22,23,,,no,,0,1
-1389438861,848110458,6,22,,,no,,0,1
-1389313225,-824207410,361,361,,,no,,0,1
-1388793051,370880382,17,17,,,yes,,0,1
-1388735399,1147853437,8,9,,,no,,0,1
-1388523034,-2085936175,405,405,,,no,,0,1
-1388271119,1138807086,40,40,,,no,,0,1
-1387741994,-472414678,52,54,,,no,,0,1
-1387631113,-1912093486,651,651,,,no,,0,1
-1387612428,1633445279,61,68,,,unknown,,0,1
-1387440287,-1013163444,322,322,,,unknown,,0,1
-1387199925,1500394418,70,94,,,no,,0,1
-1386789924,1218436903,91,111,,,no,,0,1
-1386327290,-1473967782,22,26,,,yes,,0,1
-1386273225,1504825983,25,25,,,no,,0,1
-1386128919,3185288,391,404,,,unknown,,0,1
-1385865083,1172776839,651,653,,,no,December,0,1
-1385711679,1135100663,36,36,,,no,,0,1
-1385708460,-2097388417,7,15,,,no,,0,1
-1385654011,-995923777,198,214,,,unknown,,0,1
-1385051451,-1974610860,512,523,,,unknown,,0,1
-1384401143,827244584,184,184,,,no,,0,1
-1384308840,-856499373,3,3,,,no,,0,1
-1384021637,-1635263070,14,14,,,no,,0,1
-1383454520,242618620,253,253,,,no,,0,1
-1383005459,1712642663,230,230,,,no,,0,1
-1382642697,29670286,463,485,,,unknown,,0,1
-1382473955,1135010462,99,99,,,no,,0,1
-1382139212,1147703246,57,61,,,no,,0,1
-1381955578,1626141157,337,355,,,no,July,0,1
-1381929795,1131613984,26,27,,,yes,,0,1
-1381803729,1293405112,17,38,,,no,,0,1
-1381700131,1135100663,48,49,,,no,,0,1
-1381618799,1928988223,283,285,,,no,May,0,1
-1381307476,1174918186,5,5,,,no,January,0,1
-1381033766,223114461,130,140,,,unknown,,0,1
-1380860874,-1609033793,282,284,,,no,May,,1
-1380764744,567349523,58,58,,,no,"Printed with version by the author in English, 'Closed Curtains'. Part of a Special Feature on Contemporary Welsh Poets.",0,1
-1380734579,-521321384,37,37,,,no,,0,1
-1380678930,1144782031,89,90,,,no,For Thobeka Mjolo,0,1
-1379284416,522977854,295,303,,,yes,,0,1
-1379000398,-2134672950,188,213,,,unknown,,0,1
-1378640318,971838569,44,44,,,no,,0,1
-1377717726,-195376189,23,23,,,no,,0,1
-1377264307,-1929064964,39,64,,,no,,0,1
-1376718905,1272764977,6,6,,,no,,0,1
-1376508720,1172243087,281,283,,,no,June. As J.M.,0,1
-1376178071,-1276387778,169,170,,,unknown,,0,1
-1376058135,1172776839,497,497,,,no,October,0,1
-1375925841,-493602281,46,46,,,no,,0,1
-1375900129,1342277352,12,12,,,no,,0,1
-1375886585,1172687488,440,444,,,no,August,0,1
-1375766799,-266266448,9,9,,,no,Published in The Irish Press.,1196432413,1
-1375309946,-856499373,4,4,,,no,,0,1
-1375234968,-1794000496,24,24,,,yes,,0,1
-1374649938,1079410355,551,551,,,no,September,0,1
-1374584203,-799593777,421,421,,,no,Aug,0,1
-1374332379,255967485,306,306,,,no,,0,1
-1373983628,-502759711,641,644,,,no,October,0,1
-1373946663,973426488,65,82,,,no,,0,1
-1373891809,1188974108,24,24,,,no,,0,1
-1373868483,-1454525629,96,100,,,unknown,,0,1
-1373813641,-394913093,31,139,,,no,,0,1
-1373376389,1198170751,610,613,,,no,,0,1
-1373264806,-149953506,616,616,,,no,October,0,1
-1372190217,-547425906,9,9,,,yes,,0,1
-1371499838,648130405,78,84,,,no,,0,1
-1371353401,944309580,100,101,,,no,,0,1
-1371148375,936985098,10,40,,,yes,,0,1
-1370222105,1171536095,534,534,,,no,Oct,0,1
-1369999601,-1893233960,250,250,,,no,May,0,1
-1369955790,-2042492159,4,5,,,no,,0,1
-1369615138,1131625264,31,31,,,no,,0,1
-1369610797,435462746,6,7,,,yes,,0,1
-1369278946,-1479789135,67,67,,,no,,0,1
-1369272373,-1064768630,9,10,,,no,January,,1
-1368830102,757706669,15,16,,,no,,0,1
-1368637898,1351033862,45,50,,,no,January,0,1
-1368486664,-1932215757,355,375,,,unknown,,0,1
-1367664109,-1684521315,10,11,,,no,,0,1
-1367636387,1151046988,32,39,,,unknown,,0,1
-1367119079,1667168200,27,27,,,no,,0,1
-1367049320,526572779,87,87,,,no,,0,1
-1366964255,-677578511,159,160,,,unknown,,0,1
-1366862393,994097774,201,201,,,no,,0,1
-1366771911,727748376,18,33,,,no,"Review of anthologies of women's writing, including Pillars of the House.",0,1
-1366603326,980282427,261,261,,,no,,0,1
-1366601881,-224395774,28,28,,,no,,0,1
-1366350244,1351033862,474,474,,,no,September,0,1
-1366331891,-280652029,,,,,yes,,0,1
-1366295632,866474902,40,41,,,no,,0,1
-1366194730,1462259529,1,31,,,no,,894618271,1
-1365894894,-443049787,161,161,,,no,Article on Edward Carson's conversion to woman suffrage.,0,1
-1365790977,-1835133002,6,6,,,no,Published in The Irish Press.,1196432413,1
-1365777471,-2043323050,30,30,,,no,,0,1
-1365100408,631725571,112,112,,,no,,0,1
-1364321908,1171980060,438,438,,,no,August,0,1
-1363958553,-661101758,418,418,,,no,,-131422656,1
-1363219456,-1080311205,302,308,,,unknown,,0,1
-1362515410,-1064768630,416,422,,,no,August,0,1
-1361918702,670888883,10,11,,,unknown,,0,1
-1361785875,2108225604,13,13,,,no,,0,1
-1361631197,-179024282,224,224,,,no,,0,1
-1361406222,-2041016549,4,24,,,yes,,0,1
-1361250241,591236598,,,,,unknown,,1196432413,1
-1361168567,-921447693,46,46,,,no,,0,1
-1361013661,1173110667,651,651,,,no,October,0,1
-1360798102,1170763965,147,150,,,no,March,0,1
-1360564163,1335343760,300,300,,,no,,0,1
-1360517047,222762388,633,635,,,no,November,0,1
-1360453337,107704662,219,219,,,no,April,0,1
-1360413849,2108225604,11,11,,,no,,285228734,1
-1360188332,-222216566,43,43,,,no,,0,1
-1360145166,-933209201,525,526,,,no,,0,1
-1360080476,-697076730,18,404,,,no,Cont from vol 33; chapters 34-44,0,1
-1359745995,1489306294,43,43,,,no,"""From a sequence of poems, Cork, written to accompany drawings by Brian Lalor.""",0,1
-1359499016,1149280800,136,138,,,no,"Review of Jean O'Brien, The Shadow Keeper; Moya Cannon, The Parchment Boat; Mary O'Malley, The Knife in the Wave",0,1
-1359443142,363236541,6,6,,,yes,,0,1
-1359420619,-1637477167,120,120,,,no,,0,1
-1359357429,247661170,11,11,,,no,Published in The Irish Press,1196432413,1
-1359243001,-802014598,317,317,,,no,,0,1
-1359211813,-1594707420,197,197,,,no,April. As R.M.G.,0,1
-1359088811,1149280800,100,101,,,no,,0,1
-1358519234,1649989344,63,63,,,no,,0,1
-1358053437,-1895626230,,,,,unknown,,1196432413,1
-1357829183,-1655527453,62,62,,,no,,0,1
-1357549694,-1691687799,0,0,,,unknown,,0,1
-1357548158,-1140398058,155,159,,,no,,0,1
-1357073216,626583067,11,11,,,no,,0,1
-1356824595,-224395774,60,63,,,no,"Review of John Ennis, Selected Poems",0,1
-1356800341,1043369528,21,28,,,no,,0,1
-1356648676,2053733904,40,42,,,no,,0,1
-1356605157,1346357262,6,6,,,yes,,0,1
-1356249503,1112652768,15,15,,,no,,0,1
-1356043626,-1705297316,44,45,,,no,,0,1
-1355547917,1000999888,99,100,,,no,,0,1
-1355442407,869131982,201,201,,,no,,0,1
-1354484649,1603531751,151,159,,,unknown,,0,1
-1354359159,726874582,381,381,,,no,,0,1
-1354246085,-848620784,297,298,,,unknown,,0,1
-1353778841,1035416011,124,124,,,no,,0,1
-1353310303,1144780726,7,7,,,no,,0,1
-1353177971,589558086,26,30,,,no,,0,1
-1353083690,391825763,793,797,,,no,,0,1
-1352948517,1873611394,119,121,,,no,,0,1
-1352681206,1058239071,90,90,,,no,,0,1
-1352418857,-606868091,255,257,,,no,May,0,1
-1352041888,2020637759,4,4,,,unknown,,0,1
-1351981830,222762388,568,572,,,no,October,0,1
-1351952656,-65256896,78,78,,,no,,0,1
-1351942691,1149280800,95,95,,,no,Reprinted in Breaking the Skin (2002),0,1
-1351620387,-748842548,428,429,,,no,,1679595058,1
-1351014296,1840447853,8,9,,,yes,,0,1
-1350790274,107704662,198,199,,,no,April,0,1
-1350181862,570139927,90,96,,,no,,0,1
-1349970341,-1986136240,49,50,,,no,Short piece on 'the state of poetry'.,0,1
-1349855284,-1777387538,4,5,,,no,,0,1
-1349254521,-751159714,7,7,,,no,,0,1
-1348851521,-1039511434,,,,,unknown,,0,1
-1348837890,-525235951,11,11,,,no,,0,1
-1348557527,-92898211,28,28,,,no,Jan,0,1
-1348501061,-848620784,398,398,,,unknown,,0,1
-1348224799,1567081961,12,12,,,no,,0,1
-1347600138,912250893,26,27,,,no,,0,1
-1347541992,1626141157,321,326,,,no,June,0,1
-1347532581,437995041,595,596,,,no,,-1615370623,1
-1347390557,-966718423,127,127,,,no,,0,1
-1347243185,-1044788500,163,163,,,no,,0,1
-1347138807,1132311530,95,96,,,no,,0,1
-1346950386,452232213,30,30,,,no,,0,1
-1346827919,-1797552726,23,24,,,no,,0,1
-1346732964,1079410355,341,348,,,no,June,0,1
-1346427102,1079410355,467,467,,,no,auh,0,1
-1346173957,1489306294,5,7,,,no,,0,1
-1345789098,-611936085,19,19,,,no,,0,1
-1345723436,137070262,14,14,,,yes,,0,1
-1345617403,1611418334,19,19,,,no,,0,1
-1345321985,-1557805808,362,362,,,no,July,0,1
-1345060251,967986804,6,,,,unknown,information from index of authors 1924-1987,0,1
-1345034235,1711982306,12,14,,,no,English title 'In the Month of Summer',0,1
-1344693184,2079554463,14,17,,,no,,0,1
-1344048341,1498338322,457,477,,,no,,0,1
-1343890788,147821933,10,12,,,unknown,,0,1
-1343537766,1688014999,277,,,,unknown,,0,1
-1342911041,-1001977981,234,245,,,unknown,,0,1
-1342656884,-882847081,488,489,,,no,,0,1
-1342334754,1124373158,498,499,,,unknown,,0,1
-1340820264,1456652570,235,279,,,no,,0,1
-1340435598,864889693,23,23,,,no,,0,1
-1340364745,266481870,707,718,,,unknown,,0,1
-1340247532,-2002036344,41,54,,,no,,0,1
-1339368485,1282451276,43,43,,,no,,1250736409,1
-1339285773,-1157600553,161,174,,,no,,0,1
-1339278128,748711737,205,205,,,unknown,,0,1
-1339236891,1171536095,607,607,,,no,Nov,0,1
-1339217205,-1439323914,228,228,,,no,,0,1
-1339029078,1417673453,10,11,,,no,,0,1
-1338853668,1415633284,21,21,,,yes,,0,1
-1338015631,1672439214,44,44,,,no,"Printed with English version by Ní Dhomhnaill, 'Persephone'",0,1
-1337847861,1144782031,6,6,,,no,,0,1
-1336733484,1294034192,397,397,,,no,,0,1
-1336545907,679213255,219,219,,,no,,0,1
-1336455911,1536411052,7,8,,,yes,,0,1
-1336430426,-1021036711,1,635,,,no,in twenty-eight chapters,0,1
-1335460074,1202705116,97,114,,,no,,0,1
-1334780453,-666581137,329,334,,,yes,,0,1
-1334696879,91052268,20,20,,,no,,0,1
-1334557451,1130251609,23,24,,,no,,0,1
-1334008331,-1297639847,79,86,,,no,,0,1
-1333899090,-103693182,6,6,,,no,,0,1
-1333783246,-1866795542,,,,,unknown,,0,1
-1333758187,-2029696460,34,35,,,no,,0,1
-1333686229,1577694593,24,24,,,no,,0,1
-1333472587,-1070558915,57,58,,,no,,0,1
-1333185894,556856795,1,13,,,no,,0,1
-1333015033,112299568,12,14,,,no,,0,1
-1332969410,-970335151,13,14,,,unknown,,0,1
-1332110475,1131798224,94,97,,,no,"Review of Eavan Boland, Outside History",0,1
-1331556769,-1064768630,21,35,,,no,January,0,1
-1331439146,-1668588912,19,19,,,yes,,0,1
-1330620209,1139857232,45,45,,,no,"Printed with version in English by Alex Osborne, 'Gleann na gCuach in Autumn'.",0,1
-1330503391,-883078346,18,18,,,no,,0,1
-1330339005,1173873163,205,217,,,no,April; cont throughout volume,472835272,1
-1329856539,-149953506,531,531,,,no,September,0,1
-1328605562,-1720393507,18,18,,,no,,0,1
-1328353651,566914108,1,22,,,no,,0,1
-1328264123,-1934948439,25,25,,,no,,0,1
-1328169619,1292331282,71,71,,,unknown,,0,1
-1327966388,1174573430,19,25,,,no,January,0,1
-1327163706,-1433916935,361,377,,,unknown,,0,1
-1326449874,1751576250,184,184,,,no,,0,1
-1326276222,-855248603,572,573,,,unknown,,0,1
-1326095328,1135100663,96,96,,,no,"""for S.W."" Included in the section 'Poets on War'.",0,1
-1326048235,-1539633948,455,466,,,unknown,,0,1
-1325587404,-791146529,212,212,,,unknown,,0,1
-1325562260,1649780989,23,23,,,unknown,,0,1
-1325371704,-634807158,99,99,,,no,,0,1
-1325126446,1132328220,98,98,,,no,,0,1
-1324924384,748711737,86,86,,,unknown,,2005748698,1
-1323865946,-1014537782,25,25,,,no,,0,1
-1323808665,235282366,15,7,,,no,,0,1
-1323801909,-594002114,26,26,,,no,,0,1
-1323425085,-212153570,38,39,,,no,,0,1
-1322978664,1517869651,180,190,,,no,,0,1
-1322914283,1170763965,628,631,,,no,December,0,1
-1322638086,751773408,118,130,,,yes,,0,1
-1322593278,-707986011,,,,,unknown,,0,1
-1322343530,262064107,26,27,,,no,,0,1
-1321904050,-195376189,24,24,,,no,,0,1
-1321820877,1928988223,198,199,,,no,April,0,1
-1321452035,1813940383,743,747,,,no,as M.B.,0,1
-1321441515,2076351895,33,34,,,yes,,0,1
-1321053137,1579628275,294,304,,,unknown,,0,1
-1320954068,1876091574,169,171,,,yes,,0,1
-1320922251,-107996616,180,187,,,no,,0,1
-1320524303,-1485436670,39,39,,,no,,0,1
-1320077910,1427248353,17,17,,,yes,,0,1
-1319848348,-493602281,19,21,,,no,,0,1
-1319840557,864889693,8,8,,,yes,,0,1
-1319779480,-1317203670,59,60,,,yes,,0,1
-1319520595,1171710502,713,713,,,no,Dec,0,1
-1319271740,1654992696,48,55,,,no,,0,1
-1319154154,1124373158,430,430,,,unknown,,0,1
-1318942774,-1395796508,83,84,,,no,,0,1
-1318283722,-398759542,8,36,,,yes,,0,1
-1318214257,245418648,18,19,,,no,sewing pattern,,1
-1318139724,-148416420,15,18,,,yes,,0,1
-1318120423,-1064768630,339,353,,,no,July,1953227643,1
-1317493987,-2062362978,69,69,,,no,,0,1
-1317460010,-1127403421,37,38,,,yes,,0,1
-1316748269,-1797552726,,,,,unknown,,0,1
-1316725337,-1668083202,2,2,,,no,,0,1
-1316501019,-2081594380,14,16,,,unknown,,0,1
-1316403888,1138905506,26,26,,,no,Translated from original Galician.,0,1
-1315942642,54123258,186,186,,,no,Brief article on sweated labour and White Slavery.,0,1
-1315763179,-1684521315,14,14,,,no,,0,1
-1315731021,-868544846,110,110,,,no,,0,1
-1315566575,-690355165,22,22,,,no,,0,1
-1315417813,96758340,8,9,,,yes,,0,1
-1315195824,-2146327838,,,,,unknown,,1196432413,1
-1315153647,526572779,9,11,,,no,,0,1
-1314410272,971838569,5,5,,,no,,0,1
-1314289110,1148996973,,,,,unknown,,1196432413,1
-1314202778,-1903649882,45,45,,,no,"Printed with the original poem by the author in Irish, 'An tAltram Allúrach'",0,1
-1314130380,1150450600,79,88,,,yes,,0,1
-1313882535,1724008120,36,44,,,no,,0,1
-1313654416,-1558340725,83,83,,,unknown,,0,1
-1313471983,449599216,55,55,,,no,Untitled letter,-159297903,1
-1313380498,1951328081,49,50,,,no,,0,1
-1312974866,-233365316,978,979,,,no,,0,1
-1312940607,207678656,9,9,,,no,Published in The Irish Press.,1196432413,1
-1312358582,-1110403800,97,97,,,no,,0,1
-1312081239,449622087,22,22,,,no,,0,1
-1312027445,1654762951,75,75,,,no,,0,1
-1311874148,1174573430,47,47,,,no,January,0,1
-1311689165,1532503803,350,351,,,yes,,0,1
-1311219033,-603126408,31,31,,,no,,0,1
-1310934448,1175365175,208,208,,,no,,0,1
-1310811384,-1395796508,83,83,,,no,,0,1
-1310650805,-1938041735,23,23,,,no,,0,1
-1310574601,-1118398578,72,73,,,no,Review of Micheál Mac Liammóir and Tomás de Bhaldraithe,0,1
-1310177225,476401870,180,191,,,unknown,,0,1
-1309819123,-1685781584,36,37,,,yes,,0,1
-1309657119,-2032475366,163,168,,,no,March,0,1
-1309256184,-1910513277,371,381,,,unknown,,0,1
-1309236857,-918358684,24,24,,,no,,0,1
-1308924626,-1497019498,39,39,,,no,,0,1
-1308037799,-1013673544,7,196,,,no,,0,1
-1307938736,262658539,544,553,,,unknown,,0,1
-1307921642,-2122785624,6,7,,,yes,,0,1
-1307867127,446904156,32,32,,,no,,0,1
-1307825074,603634718,268,276,342,350,no,May; June. Trans from French,0,1
-1307181410,603435057,13,17,,,no,Exerpt from Novel,0,1
-1307067022,1132773275,44,44,,,no,,0,1
-1306953796,1139337212,35,35,,,no,,0,1
-1306519710,1556310804,36,37,,,yes,,0,1
-1306325698,1118926024,46,46,,,no,,0,1
-1306151794,-1602722847,16,20,,,yes,,0,1
-1306089788,1141662828,21,22,,,no,,0,1
-1304691714,948067599,287,287,,,no,June,0,1
-1304333639,-1818171240,76,79,,,no,Mrs S.C. Hall,0,1
-1304080258,1133425978,49,60,,,no,,0,1
-1303874718,-1416817019,122,139,,,no,,0,1
-1303381976,1147703246,54,54,,,no,,0,1
-1302911228,-1859344212,163,163,,,no,,0,1
-1302581603,-237253993,25,25,,,no,,0,1
-1302544520,980262199,67,73,,,yes,,0,1
-1301803676,866474902,36,36,,,no,,0,1
-1301785983,-1013163444,608,608,,,unknown,,0,1
-1301660763,1123672451,254,254,,,no,,0,1
-1301557056,-1218559287,359,360,,,no,,0,1
-1301407138,17687728,20,20,,,yes,,0,1
-1301402283,-880785479,7,7,,,no,,0,1
-1301351720,1406315549,10,10,,,no,,0,1
-1301066780,1172243087,619,619,,,no,December,0,1
-1300821203,1277760004,24,25,,,yes,,0,1
-1300556663,-1234730072,103,105,,,no,,0,1
-1300138862,308821264,103,114,,,no,,2046601643,1
-1299822466,603634718,578,579,,,no,October,0,1
-1299375193,-849183307,757,766,,,unknown,,0,1
-1299256087,-2002036344,31,40,,,no,,0,1
-1298820038,449622087,32,32,,,no,,0,1
-1298678345,-497710002,,,,,unknown,,1196432413,1
-1298082241,-931144886,995,995,,,no,Film criticism,0,1
-1298035616,1174485640,221,227,,,no,June,1657633257,1
-1297779224,-1479998585,232,232,,,no,,0,1
-1297715918,-799593777,57,638,,,no,"In two volumes. Vol 27, chapters 1-19. Cont in vol 30.",0,1
-1297690705,1126392566,25,25,,,no,,0,1
-1297443192,503833276,20,23,,,no,,0,1
-1297189312,-1490626398,167,167,,,no,,0,1
-1296981225,-735324928,62,63,,,no,Review of Mary O'Grady,0,1
-1296647751,1439613028,176,177,,,unknown,,0,1
-1296584805,-1539524542,26,27,,,no,,0,1
-1296578614,1881728007,87,99,,,no,,0,1
-1296301670,-1664667830,81,82,,,no,,-839800880,1
-1296205238,-578431900,420,427,,,no,,0,1
-1295408457,-1645586107,31,32,,,yes,"Review of Muldoon, Madoc.",0,1
-1295221688,-372528004,39,62,,,no,,0,1
-1293690922,1203519825,25,25,,,no,,0,1
-1293100567,-931144886,908,908,,,no,Film criticim,0,1
-1292913063,-1132497657,63,64,,,no,,0,1
-1292225312,-731407685,124,133,,,unknown,,0,1
-1292148636,1847944083,13,13,,,unknown,,0,1
-1292045428,790514583,790,799,,,unknown,,0,1
-1291799327,-1944019187,19,19,,,no,,0,1
-1291480643,684280364,346,346,,,unknown,,0,1
-1291406071,1707343310,30,31,,,no,,0,1
-1291375529,2061152554,16,16,,,no,,0,1
-1291022640,-1692112814,17,19,,,yes,,0,1
-1290919019,-1991024028,12,15,66,69,unknown,,0,1
-1290785399,1131644134,44,51,,,no,"Review of Louis MacNeice, Selected Poems; Edna Longley, Louis MacNeice: A Study; Norah Saunders and AA Kelly, Joseph Campbell: Poet and Nationalist 1879-1944; Conor O'Malley, A Poet's Theatre; Paul Durcan, Jesus and Angela; John F. Deane (ed.), Six American Poets",0,1
-1290449639,1170357844,253,259,,,no,,0,1
-1290053572,-1220348624,9,9,,,no,,27536408,1
-1289933695,-495637885,29,29,,,no,,0,1
-1289749183,2015984192,16,34,,,no,,0,1
-1289475366,30253817,506,507,,,no,Sept. From the Italian,0,1
-1289255605,-1787149447,253,253,,,no,,0,1
-1289213895,846029848,7,,,,unknown,information from index of authors 1924-1987,0,1
